developer_id,name,last_update
1,Nintendo,2023-11-07 23:54:40.153071
2,Konami,2023-11-07 23:54:40.153071
3,Ubisoft,2023-11-07 23:54:40.153071
4,Toys for Bob,2023-11-07 23:54:40.153071
5,Edmund McMillen,2023-11-07 23:54:40.153071
6,Frozenbyte,2023-11-07 23:54:40.153071
7,Koei Tecmo,2023-11-07 23:54:40.153071
8,TT Games,2023-11-07 23:54:40.153071
9,Sonic Team,2023-11-07 23:54:40.153071
10,Nippon Ichi,2023-11-07 23:54:40.153071
11,Capcom,2023-11-07 23:54:40.153071
12,Avalanche,2023-11-07 23:54:40.153071
13,Nicalis,2023-11-07 23:54:40.153071
14,Marvelous Inc.,2023-11-07 23:54:40.153071
15,Spiral House,2023-11-07 23:54:40.153071
16,Telltale Games,2023-11-07 23:54:40.153071
17,Inti Creates,2023-11-07 23:54:40.153071
18,MLB AM,2023-11-07 23:54:40.153071
19,Visual Concepts,2023-11-07 23:54:40.153071
20,Dispatch Games,2023-11-07 23:54:40.153071
21,Bandai Namco,2023-11-07 23:54:40.153071
22,Digital Reality,2023-11-07 23:54:40.153071
23,Electronic Arts,2023-11-07 23:54:40.153071
24,StarQuail Games,2023-11-07 23:54:40.153071
25,CUBETYPE,2023-11-07 23:54:40.153071
26,Bitmap Bureau,2023-11-07 23:54:40.153071
27,Microids,2023-11-07 23:54:40.153071
28,Gust Corporation,2023-11-07 23:54:40.153071
29,THQ Nordic,2023-11-07 23:54:40.153071
30,PolyKid,2023-11-07 23:54:40.153071
31,Magic Pockets,2023-11-07 23:54:40.153071
32,Team-6,2023-11-07 23:54:40.153071
33,Giants Software,2023-11-07 23:54:40.153071
34,System 3,2023-11-07 23:54:40.153071
35,Panic Button,2023-11-07 23:54:40.153071
36,SFB Games,2023-11-07 23:54:40.153071
37,Outright Games,2023-11-07 23:54:40.153071
38,Tequila Works,2023-11-07 23:54:40.153071
39,Team Bondi,2023-11-07 23:54:40.153071
40,Shin'en,2024-01-09 19:23:40.497745
41,Tokyo RPG Factory,2024-01-09 19:23:40.497745
42,Yacht Club Games,2024-01-09 19:23:40.497745
43,Saurus,2024-01-09 19:23:40.497745
44,SunSoft,2024-01-09 19:23:40.497745
45,SNK Playmore,2024-01-09 19:23:40.497745
46,ADK,2024-01-09 19:23:40.497745
47,Flyhigh Works,2024-01-09 19:23:40.497745
48,Hamster,2024-01-09 19:23:40.497745
49,2D Boy,2024-01-09 19:23:40.497745
50,Tomorrow Corporation,2024-01-09 19:23:40.497745
51,Arc System Works,2024-01-09 19:23:40.497745
52,SNK Corporation,2024-01-09 19:23:40.497745
53,"Frozenbyte, Inc.",2024-01-09 19:23:40.497745
54,Sumo Digital,2024-01-09 19:23:40.497745
