game_id,title,release_date,esrb,console,metascore,user_score,sales_mil,details
89,The Making of Karateka,2023-08-29,T,Switch,90,6.2,,"Interactive documentary from Digital Eclipse, the story of how a teenager with an Apple II created one of the most groundbreaking, influential games of all time."
90,Fire Emblem: Three Houses,2019-07-26,T,Switch,89,8.8,4.120,"As their professor, you must lead your students in their academic lives and in turn-based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?"
91,Dead Cells,2018-08-07,T,Switch,89,8.4,0.110,"Dead Cells is a rogue-lite, metroidvania action-platformer. You''ll explore a sprawling, ever-changing castle... assuming you''re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat."
92,Atari 50: The Anniversary Celebration,2022-11-11,T,Switch,89,7.8,,"Atari 50: The Anniversary Celebration takes players on an interactive journey through 50 years of video games via interviews with designers, developers and industry leaders, documentary footage, product design documents, high-resolution original artwork, and a specially-curated list of more than 90 playable games."
93,Super Mario 3D World + Bowser's Fury,2021-02-12,E,Switch,89,8.7,12.580,"Pounce and climb through dozens of colorful stages! Mario (and his friends) can use power-ups like the Super Bell, which grants catlike abilities, like climbing and scratching."
94,Okami HD,2018-08-09,T,Switch,89,8.9,0.040,"In Okami, the legendary monster Orochi has come back to life and turned the world into a veritable wasteland. Players must assume the role of a wolf, an embodiment of the sun god Amaterasu, which is capable of wielding unimaginable power."
95,Into the Breach,2018-08-28,E10+,Switch,89,7.8,,Control powerful mechs from the future to defeat an alien threat. Each attempt to save the world presents a new randomly generated challenge in this turn-based strategy game.
96,Xenoblade Chronicles: Definitive Edition,2020-05-29,T,Switch,89,8.8,1.880,Join the fight between man and machine in the definitive edition of this critically-acclaimed RPG. Discover the origins of Shulk as he and his companions clash against a seemingly-unstoppable mechanical menace.
97,NieR: Automata - The End of YorHa Edition,2022-10-06,M,Switch,89,7.2,,"NieR:Automata The End of YoRHa Edition is the Nintendo Switch™ version of NieR:Automata, an award-winning post-apocalyptic action RPG that has achieved deep-rooted popularity around the world."
98,Xenoblade Chronicles 3,2022-07-29,T,Switch,89,8.5,1.860,"'Fighting to live and living to fight' - A brand new RPG adventure awaits in Xenoblade Chronicles 3. Bringing together the futures of Xenoblade Chronicles and Xenoblade Chronicles 2, this title will take players to the world of Aionios, home to two hostile nations."
99,Death's Door,2021-11-23,T,Switch,89,8.0,,"Experience a somber yet darkly comedic tale, uncovering the truths behind the flow of souls, the role of the Crows and the origin of the Doors."
100,SteamWorld Dig 2,2017-09-21,E10+,Switch,88,8.5,0.010,Grab your pickaxe and dig into the sequel to SteamWorld Dig. A platform mining adventure forged in Metroidvania flames.
101,Cave Story Plus,2017-06-20,E10+,Switch,88,7.9,0.150,"Cave Story takes you into a rare world where a curious race of innocent, rabbit-like creatures called Mimiga run free."
102,DUSK,2021-10-28,M,Switch,88,8.4,,"Battle through an onslaught of mystical backwater cultists, possessed militants & even darker forces as you attempt to discover just what lurks beneath the Earth in this retro FPS inspired by the ''90s legends."
103,Cuphead in the Delicious Last Course,2022-06-30,E10+,Switch,88,8.4,,"Another helping of classic Cuphead action awaits you in Cuphead - The Delicious Last Course! Brothers Cuphead and Mugman are joined by the clever, adventurous Ms. Chalice for a rollicking adventure on a previously undiscovered Inkwell Isle!"
104,Ikaruga,2018-05-29,E10+,Switch,88,8.1,,Treasure's award-winning scrolling shooter brings a tactical twist to the genre with its yin-and-yang gameplay: the color of your ship determines your effect on enemies.
105,Diablo III: Eternal Collection,2018-11-02,M,Switch,88,7.2,0.670,"Rise as one of humanity’s last defenders — crusader, barbarian, witch doctor, demon hunter, monk, or wizard — and collect legendary loot while mastering devastating new powers and abilities."
106,Super Mario Maker 2,2019-06-28,E,Switch,88,8.5,8.420,"Mario fans of the world, unite! Now you can play, create, and share the side-scrolling Super Mario courses of your dreams in the Super Mario Maker 2 game, available exclusively on the Nintendo Switch™ system!"
1,Fast RMX,2017-03-03,E,Switch,81,7.9,,"Jump into the driver''s seat of your anti-gravity vehicle and put your skills to the test in high octane competitions."
4,Shovel Knight: Specter of Torment,2017-03-03,E,Switch,84,8.1,,"Shovel Knight: Specter of Torment is the action-packed prequel to Shovel Knight!"
5,Shovel Knight: Treasure Trove,2017-03-03,E,Switch,91,8.3,,"Shovel Knight: Treasure Trove is the full and complete edition of Shovel Knight, a sweeping classic action adventure game series with awesome gameplay, memorable characters, and an 8-bit retro aesthetic!"
7,Snipperclips - Cut it out, together!,2017-03-03,E,Switch,80,8.2,0.120,"Cut paper characters into new shapes to solve dynamic puzzles and play activities in a wonderfully creative and imaginative world."
17,Shock Troopers,2017-03-09,T,Switch,70,7.0,,"A run-and-gun shooting game featuring 8 mercenaries who face a huge terrorist organization, enlist for action on NEOGEO Station!"
19,Metal Slug 3,2017-03-09,T,Switch,76,3.6,,"The popular action shooting series is in all of its original arcade glory, with gorgeous graphics and all the run-and-gun action you can handle."
20,Blaster Master Zero,2017-03-09,E,Switch,78,7.6,,"Blaster Master Zero is a 8-bit style top-down & sideview 2D action-adventure game that hearkens back to the golden age of the NES."
21,The King of Fighters '98: The Slugfest,2017-03-09,T,Switch,80,8.0,,"The All-Star dream battle is here at last: It's King of Fighters '98! Here come 38 of your favorite characters from the King of Fighters series."
107,Hyper Light Drifter,2018-09-06,T,Switch,88,8.2,,"Hyper Light Drifter is a 2D Action RPG in the vein of the best 8-bit and 16-bit classics, with modernized mechanics and designs on a much grander scale."
