genre_id,name,last_update
1,Action,2023-11-14 00:29:30.420746
2,Action Adventure,2023-11-14 00:29:30.420746
3,Action Puzzle,2023-11-14 00:29:30.420746
4,Action RPG,2023-11-14 00:29:30.420746
5,Adventure,2023-11-14 00:29:30.420746
6,Application,2023-11-14 00:29:30.420746
7,Arcade,2023-11-14 00:29:30.420746
8,Beat-'Em-Up,2023-11-14 00:29:30.420746
9,Board/Card Game,2023-11-14 00:29:30.420746
10,Card Battle,2023-11-14 00:29:30.420746
11,Compilation,2023-11-14 00:29:30.420746
12,Edutainment,2023-11-14 00:29:30.420746
13,Exercise/Fitness,2023-11-14 00:29:30.420746
14,Fighting,2023-11-14 00:29:30.420746
15,First-Person Shooter,2023-11-14 00:29:30.420746
16,Gambling,2023-11-14 00:29:30.420746
17,General,2023-11-14 00:29:30.420746
18,MMORPG,2023-11-14 00:29:30.420746
19,Open-World,2023-11-14 00:29:30.420746
20,Party/Minigame,2023-11-14 00:29:30.420746
21,Pinball,2023-11-14 00:29:30.420746
22,Platformer,2023-11-14 00:29:30.420746
23,Puzzle,2023-11-14 00:29:30.420746
24,RPG,2023-11-14 00:29:30.420746
25,Racing,2023-11-14 00:29:30.420746
26,Real-Time Strategy,2023-11-14 00:29:30.420746
27,Rhythm,2023-11-14 00:29:30.420746
28,Roguelike,2023-11-14 00:29:30.420746
29,Sandbox,2023-11-14 00:29:30.420746
30,Shooter,2023-11-14 00:29:30.420746
31,Simulation,2023-11-14 00:29:30.420746
32,Sports,2023-11-14 00:29:30.420746
33,Strategy,2023-11-14 00:29:30.420746
34,Survival,2023-11-14 00:29:30.420746
35,Tactics,2023-11-14 00:29:30.420746
36,Third-Person Shooter,2023-11-14 00:29:30.420746
37,Trivia/Game Show,2023-11-14 00:29:30.420746
38,Turn-Based Strategy,2023-11-14 00:29:30.420746
39,Virtual,2023-11-14 00:29:30.420746
40,Visual Novel,2023-11-14 00:29:30.420746
41,JRPG,2023-11-14 00:29:30.420746
42,Dancing,2023-11-14 00:29:30.420746
44,Point-And-Click,2023-11-14 18:27:39.681511
45,Miscellaneous,2023-11-14 18:35:59.780109
