publisher_id,name,last_update
1,Shin'en,2024-01-09 22:17:02.962107
2,Square Enix,2024-01-09 22:17:02.962107
3,Ubisoft,2024-01-09 22:17:02.962107
4,Yacht Club Games,2024-01-09 22:17:02.962107
6,Activision,2024-01-09 22:17:41.175167
7,Nintendo,2024-01-09 22:17:41.175167
8,Konami,2024-01-09 22:17:41.175167
11,Hamster,2024-01-09 22:17:41.175167
13,SNK Playmore,2024-01-09 22:17:41.175167
14,Inti Creates,2024-01-09 22:24:39.392758
17,Flyhigh Works,2024-01-09 22:24:39.392758
19,2D Boy,2024-01-09 22:24:39.392758
20,Tomorrow Corporation,2024-01-09 22:24:39.392758
22,Nicalis,2024-01-09 22:24:39.392758
23,Arc System Works,2024-01-09 22:24:39.392758
26,GameTrust,2024-01-09 22:24:39.392758
27,Sumo Digital,2024-01-09 22:24:39.392758
28,Poisoft,2024-01-09 22:24:39.392758
29,Vertex Pop,2024-01-09 22:24:39.392758
31,"Jackbox Games, Inc.",2024-01-09 22:24:39.392758
32,tinyBuild,2024-01-09 22:24:39.392758
33,DotEmu,2024-01-09 22:24:39.392758
34,Sega,2024-01-09 22:24:39.392758
36,aeiowu,2024-01-09 22:24:39.392758
38,Saber Interactive,2024-01-09 22:24:39.392758
40,Drool,2024-01-09 22:24:39.392758
41,NIS America,2024-01-09 22:24:39.392758
42,Capcom,2024-01-09 22:24:39.392758
43,Panic Button,2024-01-09 22:24:39.392758
44,Headup Games,2024-01-09 22:24:39.392758
45,XSEED Games,2024-01-09 22:24:39.392758
46,Warner Bros. Interactive Entertainment,2024-01-09 22:24:39.392758
48,Limited Run Games,2024-01-09 22:24:39.392758
49,Valve Software,2024-01-09 22:24:39.392758
50,Enhance Games,2024-01-09 22:24:39.392758
51,Atlus,2024-01-09 22:24:39.392758
52,tobyfox,2024-01-09 22:24:39.392758
53,Microsoft Game Studios,2024-01-09 22:24:39.392758
54,Supergiant Games,2024-01-09 22:24:39.392758
55,Larian Studios Games,2024-01-09 22:24:39.392758
56,Maddy Makes Games,2024-01-09 22:24:39.392758
58,PLAYDEAD,2024-01-09 22:24:39.392758
59,Image & Form,2024-01-09 22:24:39.392758
60,Sabatoge Studio,2024-01-09 22:24:39.392758
61,Wadjet Eye Games,2024-01-09 22:24:39.392758
63,Team Cherry,2024-01-09 22:24:39.392758
64,Aksys Games,2024-01-09 22:24:39.392758
66,DECK13 Spotlight,2024-01-09 22:24:39.392758
67,Finji,2024-01-09 22:24:39.392758
69,Digital Eclipse,2024-01-09 22:24:39.392758
70,Motion Twin,2024-01-09 22:24:39.392758
71,Atari SA,2024-01-09 22:24:39.392758
73,Subset Games,2024-01-09 22:24:39.392758
75,Devolver Digital,2024-01-09 22:24:39.392758
78,New Blood Interactive,2024-01-09 22:24:39.392758
79,Studio MDHR,2024-01-09 22:24:39.392758
81,Blizzard Entertainment,2024-01-09 22:24:39.392758
82,Heart Machine,2024-01-09 22:24:39.392758
83,Whippoorwill Limited,2024-01-09 22:24:39.392758
84,Annapurna Interactive,2024-01-09 22:24:39.392758
88,Polytron Corp.,2024-01-09 22:24:39.392758
91,poncle,2024-01-09 22:24:39.392758
92,Chucklefish,2024-01-09 22:24:39.392758
93,Bethesda Softworks,2024-01-09 22:24:39.392758
96,Crows Crows Crows,2024-01-09 22:24:39.392758
97,MINT ROCKET,2024-01-09 22:24:39.392758
98,Bandai Namco Games,2024-01-09 22:24:39.392758
100,DrinkBox Studios,2024-01-09 22:24:39.392758
102,Metalhead Software,2024-01-09 22:24:39.392758
107,Team17,2024-01-09 22:24:39.392758
110,Private Division,2024-01-09 22:24:39.392758
111,Tom Happ,2024-01-09 22:24:39.392758
112,Capy Games,2024-01-09 22:24:39.392758
114,D-Pad Studio,2024-01-09 22:24:39.392758
115,FuturLab,2024-01-09 22:24:39.392758
117,Draw Me A Pixel,2024-01-09 22:24:39.392758
118,Bifrost Entertainment,2024-01-09 22:24:39.392758
119,Skystone Games,2024-01-09 22:24:39.392758
120,PQube,2024-01-09 22:24:39.392758
121,Psyonix,2024-01-09 22:24:39.392758
123,inkle,2024-01-09 22:24:39.392758
125,ZA/UM,2024-01-09 22:24:39.392758
126,Witch Beam,2024-01-09 22:24:39.392758
127,FDG Entertainment,2024-01-09 22:24:39.392758
130,WayForward,2024-01-09 22:24:39.392758
131,Spike Chunsoft,2024-01-09 22:24:39.392758
134,Zen Studios,2024-01-09 22:24:39.392758
135,2K Games,2024-01-09 22:24:39.392758
136,Brace Yourself Games,2024-01-09 22:24:39.392758
137,Digital Extremes,2024-01-09 22:24:39.392758
139,Batterystaple Games,2024-01-09 22:24:39.392758
142,Coffee Stain Studios,2024-01-09 22:24:39.392758
143,GameTomo,2024-01-09 22:24:39.392758
147,Radial Games Corp.,2024-01-09 22:24:39.392758
148,Raw Fury,2024-01-09 22:24:39.392758
153,Mega Crit Games,2024-01-09 22:24:39.392758
154,DANGEN Entertainment,2024-01-09 22:24:39.392758
156,Clap Hanz,2024-01-09 22:24:39.392758
158,CD Projekt Red Studio,2024-01-09 22:24:39.392758
162,Serenity Forge,2024-01-09 22:24:39.392758
164,BlitWorks,2024-01-09 22:24:39.392758
165,Asymmetric Publications,2024-01-09 22:24:39.392758
167,Chorus Worldwide,2024-01-09 22:24:39.392758
168,SFB Games,2024-01-09 22:24:39.392758
169,Plug In Digital,2024-01-09 22:24:39.392758
171,Red Hook Studios,2024-01-09 22:24:39.392758
172,Atooi LLC,2024-01-09 22:24:39.392758
179,Steel Crate Games,2024-01-09 22:24:39.392758
182,No More Robots,2024-01-09 22:24:39.392758
189,Triband,2024-01-09 22:24:39.392758
190,Square Enix Collective,2024-01-09 22:24:39.392758
191,Two Tribes,2024-01-09 22:24:39.392758
195,SNK,2024-01-09 22:24:39.392758
196,Playtonic Friends,2024-01-09 22:24:39.392758
199,Live Wire,2024-01-09 22:24:39.392758
200,Fellow Traveller,2024-01-09 22:24:39.392758
203,Netflix,2024-01-09 22:24:39.392758
204,Asteroid Base,2024-01-09 22:24:39.392758
207,The Arcade Crew,2024-01-09 22:24:39.392758
208,Koei Tecmo Games,2024-01-09 22:24:39.392758
209,Doragon Entertainment,2024-01-09 22:24:39.392758
212,Focus Home Interactive,2024-01-09 22:24:39.392758
213,Hempuli Oy,2024-01-09 22:24:39.392758
215,HappyJuice Games,2024-01-09 22:24:39.392758
216,Thunder Lotus Games,2024-01-09 22:24:39.392758
218,CyberConnect2,2024-01-09 22:24:39.392758
221,Freebird Games,2024-01-09 22:24:39.392758
223,Five Aces Publishing Ltd.,2024-01-09 22:24:39.392758
